lead_id,source,course_interested,city,budget_range,lead_score,first_contact_date,response_time_hours,num_follow_ups,converted,conversion_date,revenue
LD11624,Referral,Business Analytics,Bengaluru,30k-50k,45,2026-01-20,8.4,6,N,,0
LD11625,Instagram Ads,Data Science Bootcamp,Chennai,15k-30k,42,2025-11-19,15.3,4,N,,0
LD11626,Instagram Ads,Digital Marketing,Bengaluru,50k+,65,2025-11-16,52.8,2,N,,0
LD11627,Organic Search,Full Stack Development,Ahmedabad,50k+,23,2026-02-28,24.4,2,N,,0
LD11628,Organic Search,Digital Marketing,Kolkata,<15k,62,2026-03-12,9.6,2,N,,0
LD11629,Instagram Ads,Digital Marketing,Bengaluru,15k-30k,87,2025-12-25,14.7,2,N,,0
LD11630,Instagram Ads,Power BI & Tableau,Mumbai,30k-50k,50,2026-04-14,53.0,4,N,,0
LD11631,Google Ads,Python for Data Analysis,Kolkata,50k+,47,2026-01-24,56.4,5,N,,0
LD11632,Organic Search,Business Analytics,Kolkata,15k-30k,67,2026-05-15,19.1,1,N,,0
LD11633,Organic Search,Python for Data Analysis,Delhi NCR,15k-30k,36,2026-05-19,23.6,1,N,,0
LD11634,Instagram Ads,Data Science Bootcamp,Mumbai,50k+,38,2026-06-22,15.4,2,N,,0
LD11635,Instagram Ads,Power BI & Tableau,Delhi NCR,30k-50k,37,2026-07-24,11.8,2,N,,0
LD11636,Organic Search,Full Stack Development,Kolkata,30k-50k,54,2025-12-05,3.8,8,N,,0
LD11637,Walk-in,Business Analytics,Pune,<15k,69,2026-02-09,0.2,2,Y,2026-02-19,12464
LD11638,Instagram Ads,Business Analytics,Hyderabad,30k-50k,35,2026-04-02,5.2,9,N,,0
LD11639,Google Ads,Full Stack Development,Ahmedabad,50k+,41,2026-01-26,28.8,2,N,,0
LD11640,Instagram Ads,Digital Marketing,Mumbai,50k+,47,2026-03-07,6.7,2,N,,0
LD11641,Google Ads,Digital Marketing,Pune,<15k,86,2026-01-12,19.0,1,N,,0
LD11642,Google Ads,Data Science Bootcamp,Pune,<15k,22,2026-01-06,1.4,0,N,,0
LD11643,Google Ads,Data Science Bootcamp,Delhi NCR,30k-50k,55,2025-11-26,2.6,7,N,,0
LD11644,Instagram Ads,Business Analytics,Bengaluru,50k+,33,2026-01-18,10.0,2,N,,0
LD11645,Instagram Ads,Business Analytics,Pune,<15k,56,2026-02-12,2.7,3,N,,0
LD11646,Google Ads,Data Science Bootcamp,Mumbai,50k+,76,2026-04-16,6.3,5,N,,0
LD11647,Google Ads,Digital Marketing,Delhi NCR,50k+,11,2026-01-06,27.5,4,N,,0
LD11648,Walk-in,Python for Data Analysis,Ahmedabad,30k-50k,59,2026-06-24,12.0,2,N,,0
LD11649,LinkedIn,Full Stack Development,Chennai,<15k,67,2025-12-13,20.0,0,N,,0
LD11650,LinkedIn,Data Science Bootcamp,Bengaluru,15k-30k,34,2026-01-28,6.2,4,N,,0
LD11651,Instagram Ads,Digital Marketing,Hyderabad,50k+,46,2026-04-06,5.3,6,N,,0
LD11652,Instagram Ads,Power BI & Tableau,Pune,50k+,65,2026-01-24,15.6,7,Y,2026-01-26,60361
LD11653,Referral,Business Analytics,Kolkata,30k-50k,19,2026-05-27,3.7,0,N,,0
LD11654,Instagram Ads,Data Science Bootcamp,Mumbai,<15k,77,2026-03-16,70.7,4,N,,0
LD11655,Instagram Ads,Python for Data Analysis,Mumbai,50k+,59,2026-03-20,5.9,1,Y,2026-03-24,65421
LD11656,LinkedIn,Full Stack Development,Mumbai,<15k,52,2026-03-16,109.3,5,N,,0
LD11657,Referral,Python for Data Analysis,Mumbai,<15k,70,2026-01-23,7.8,3,N,,0
LD11658,Walk-in,Python for Data Analysis,Delhi NCR,50k+,73,2025-11-06,25.9,3,N,,0
LD11659,Organic Search,Digital Marketing,Bengaluru,15k-30k,50,2026-07-16,3.9,2,N,,0
LD11660,Instagram Ads,Full Stack Development,Delhi NCR,<15k,51,2026-03-17,6.0,2,N,,0
LD11661,Instagram Ads,Python for Data Analysis,Mumbai,30k-50k,44,2026-07-21,2.0,1,N,,0
LD11662,Google Ads,Digital Marketing,Mumbai,<15k,32,2025-12-28,44.5,3,N,,0
LD11663,Organic Search,Data Science Bootcamp,Kolkata,15k-30k,40,2026-02-04,12.0,8,N,,0
LD11664,Walk-in,Digital Marketing,Pune,<15k,72,2025-11-13,0.4,3,N,,0
LD11665,Instagram Ads,Digital Marketing,Kolkata,<15k,80,2026-03-15,15.9,2,N,,0
LD11666,Instagram Ads,Business Analytics,Bengaluru,<15k,48,2026-06-28,15.4,3,N,,0
LD11667,Instagram Ads,Power BI & Tableau,Pune,50k+,43,2026-04-27,3.0,1,Y,2026-04-29,70346
LD11668,Instagram Ads,Digital Marketing,Mumbai,<15k,33,2026-03-08,19.1,3,N,,0
LD11669,Google Ads,Business Analytics,Hyderabad,50k+,53,2026-03-26,31.1,7,N,,0
LD11670,Instagram Ads,Full Stack Development,Bengaluru,30k-50k,58,2026-06-19,14.2,3,N,,0
LD11671,Referral,Data Science Bootcamp,Pune,30k-50k,42,2026-02-25,2.3,2,N,,0
LD11672,Organic Search,Full Stack Development,Pune,<15k,44,2026-06-28,6.0,0,N,,0
LD11673,Walk-in,Python for Data Analysis,Chennai,15k-30k,36,2026-05-17,8.9,8,N,,0
LD11674,Organic Search,Power BI & Tableau,Ahmedabad,30k-50k,75,2026-05-27,6.3,3,N,,0
LD11675,Referral,Full Stack Development,Bengaluru,15k-30k,44,2026-02-07,3.7,2,N,,0
LD11676,Instagram Ads,Full Stack Development,Chennai,50k+,51,2026-02-17,19.6,4,N,,0
LD11677,Instagram Ads,Full Stack Development,Delhi NCR,15k-30k,24,2026-04-04,19.3,1,N,,0
LD11678,Organic Search,Data Science Bootcamp,Ahmedabad,50k+,15,2025-12-23,6.6,1,N,,0
LD11679,Referral,Power BI & Tableau,Ahmedabad,30k-50k,40,2026-03-31,7.7,5,Y,2026-04-08,42982
LD11680,Google Ads,Business Analytics,Chennai,15k-30k,46,2025-11-20,3.3,5,Y,2025-11-21,22935
LD11681,Instagram Ads,Digital Marketing,Delhi NCR,50k+,79,2026-03-17,12.3,3,Y,2026-03-25,69113
LD11682,Walk-in,Power BI & Tableau,Hyderabad,15k-30k,41,2026-05-27,37.6,2,N,,0
LD11683,Instagram Ads,Power BI & Tableau,Ahmedabad,15k-30k,31,2026-01-15,6.8,4,Y,2026-01-20,23378
LD11684,Instagram Ads,Digital Marketing,Chennai,30k-50k,92,2026-07-28,1.3,3,N,,0
LD11685,LinkedIn,Python for Data Analysis,Kolkata,<15k,67,2026-05-04,26.2,6,N,,0
LD11686,Instagram Ads,Full Stack Development,Bengaluru,15k-30k,47,2025-12-02,1.5,1,N,,0
LD11687,Organic Search,Power BI & Tableau,Mumbai,30k-50k,36,2026-07-24,77.4,4,N,,0
LD11688,Walk-in,Digital Marketing,Kolkata,<15k,68,2026-02-15,67.1,3,N,,0
LD11689,LinkedIn,Business Analytics,Pune,50k+,80,2026-06-05,34.3,2,N,,0
LD11690,LinkedIn,Power BI & Tableau,Chennai,30k-50k,53,2026-01-31,6.4,2,N,,0
LD11691,LinkedIn,Python for Data Analysis,Hyderabad,30k-50k,48,2026-07-14,11.5,4,N,,0
LD11692,Google Ads,Data Science Bootcamp,Bengaluru,<15k,67,2026-05-25,3.4,2,N,,0
LD11693,Google Ads,Business Analytics,Bengaluru,15k-30k,40,2025-12-24,28.8,6,N,,0
LD11694,Instagram Ads,Business Analytics,Ahmedabad,<15k,70,2026-03-18,4.4,2,N,,0
LD11695,Instagram Ads,Business Analytics,Bengaluru,<15k,52,2026-03-16,12.5,3,N,,0
LD11696,Instagram Ads,Power BI & Tableau,Ahmedabad,50k+,28,2025-11-12,3.7,1,N,,0
LD11697,Google Ads,Power BI & Tableau,Bengaluru,30k-50k,56,2025-12-07,19.1,3,N,,0
LD11698,Walk-in,Digital Marketing,Hyderabad,15k-30k,51,2026-01-29,39.2,2,N,,0
LD11699,Instagram Ads,Data Science Bootcamp,Ahmedabad,15k-30k,59,2026-03-09,2.6,1,N,,0
LD11700,Google Ads,Data Science Bootcamp,Bengaluru,50k+,55,2026-03-04,7.1,1,N,,0
LD11701,Walk-in,Digital Marketing,Chennai,50k+,36,2026-04-14,0.8,2,N,,0
LD11702,Instagram Ads,Full Stack Development,Delhi NCR,<15k,48,2026-03-20,7.8,1,N,,0
LD11703,Google Ads,Power BI & Tableau,Hyderabad,<15k,60,2026-01-28,37.6,5,N,,0
LD11704,Walk-in,Digital Marketing,Mumbai,<15k,54,2026-04-16,27.2,8,Y,2026-05-06,12206
LD11705,Google Ads,Power BI & Tableau,Hyderabad,<15k,59,2025-12-14,2.9,5,N,,0
LD11706,Referral,Full Stack Development,Kolkata,15k-30k,40,2026-07-28,47.0,0,N,,0
LD11707,Instagram Ads,Business Analytics,Mumbai,15k-30k,57,2026-05-20,0.7,1,Y,2026-05-21,22495
LD11708,LinkedIn,Power BI & Tableau,Kolkata,15k-30k,84,2026-01-20,10.4,4,N,,0
LD11709,Organic Search,Full Stack Development,Chennai,<15k,81,2026-01-30,17.5,5,N,,0
LD11710,Instagram Ads,Full Stack Development,Kolkata,50k+,43,2026-06-14,14.2,3,N,,0
LD11711,LinkedIn,Data Science Bootcamp,Pune,15k-30k,32,2026-03-25,7.9,4,N,,0
LD11712,Google Ads,Power BI & Tableau,Chennai,50k+,50,2026-05-12,9.2,5,N,,0
LD11713,Walk-in,Full Stack Development,Ahmedabad,15k-30k,72,2026-01-20,8.4,2,N,,0
LD11714,Organic Search,Digital Marketing,Chennai,30k-50k,70,2026-06-10,5.0,0,N,,0
LD11715,Google Ads,Digital Marketing,Kolkata,50k+,48,2026-02-08,6.7,5,N,,0
LD11716,LinkedIn,Full Stack Development,Mumbai,30k-50k,75,2026-05-02,65.3,2,N,,0
LD11717,Instagram Ads,Power BI & Tableau,Kolkata,15k-30k,42,2026-07-25,9.6,1,N,,0
LD11718,Organic Search,Power BI & Tableau,Chennai,30k-50k,33,2026-04-08,4.5,2,N,,0
LD11719,Google Ads,Python for Data Analysis,Kolkata,50k+,44,2026-06-05,7.6,3,N,,0
LD11720,LinkedIn,Data Science Bootcamp,Delhi NCR,<15k,55,2026-05-17,8.1,4,N,,0
LD11721,Google Ads,Power BI & Tableau,Pune,<15k,11,2026-05-06,3.4,7,N,,0
LD11722,Google Ads,Digital Marketing,Delhi NCR,<15k,53,2025-11-07,31.5,3,N,,0
LD11723,Organic Search,Business Analytics,Chennai,15k-30k,74,2026-03-09,2.9,3,Y,2026-03-12,21633
LD11724,Google Ads,Data Science Bootcamp,Pune,30k-50k,21,2026-07-22,13.4,4,N,,0
LD11725,LinkedIn,Data Science Bootcamp,Ahmedabad,<15k,50,2026-06-01,5.3,4,N,,0
LD11726,LinkedIn,Digital Marketing,Pune,15k-30k,57,2026-05-30,10.8,4,N,,0
LD11727,Walk-in,Digital Marketing,Mumbai,30k-50k,53,2026-04-06,13.7,5,Y,2026-04-11,39351
LD11728,Organic Search,Business Analytics,Delhi NCR,30k-50k,24,2026-05-15,7.9,3,N,,0
LD11729,Walk-in,Data Science Bootcamp,Mumbai,50k+,47,2026-04-08,30.8,7,N,,0
LD11730,Organic Search,Full Stack Development,Chennai,<15k,50,2025-12-16,34.5,6,N,,0
LD11731,Referral,Python for Data Analysis,Ahmedabad,15k-30k,48,2026-04-20,39.0,3,N,,0
LD11732,LinkedIn,Full Stack Development,Delhi NCR,<15k,70,2026-04-18,11.2,2,N,,0
LD11733,Instagram Ads,Data Science Bootcamp,Hyderabad,50k+,42,2026-06-17,38.1,4,N,,0
LD11734,Referral,Data Science Bootcamp,Chennai,30k-50k,23,2025-12-10,13.7,7,N,,0
LD11735,Instagram Ads,Python for Data Analysis,Hyderabad,50k+,63,2026-05-04,14.1,5,N,,0
LD11736,Referral,Business Analytics,Kolkata,<15k,65,2025-11-08,2.7,2,N,,0
LD11737,Google Ads,Data Science Bootcamp,Bengaluru,30k-50k,44,2026-07-16,12.4,3,N,,0
LD11738,Referral,Digital Marketing,Chennai,15k-30k,83,2025-11-30,0.4,3,Y,2025-12-11,23998
LD11739,Google Ads,Power BI & Tableau,Pune,15k-30k,40,2025-11-05,31.8,3,N,,0
LD11740,Instagram Ads,Data Science Bootcamp,Ahmedabad,50k+,46,2026-01-24,18.6,1,N,,0
LD11741,Referral,Power BI & Tableau,Mumbai,<15k,52,2025-12-11,44.2,3,Y,2025-12-17,11537
LD11742,Referral,Python for Data Analysis,Kolkata,30k-50k,42,2026-05-07,2.6,4,Y,2026-05-11,38008
LD11743,LinkedIn,Business Analytics,Chennai,15k-30k,64,2026-02-20,34.5,5,N,,0
LD11744,Instagram Ads,Data Science Bootcamp,Bengaluru,50k+,36,2026-05-30,1.2,7,N,,0
LD11745,Google Ads,Power BI & Tableau,Delhi NCR,50k+,57,2026-07-09,14.4,2,N,,0
LD11746,Google Ads,Data Science Bootcamp,Kolkata,50k+,26,2026-06-26,26.6,3,N,,0
LD11747,LinkedIn,Full Stack Development,Pune,15k-30k,53,2026-05-19,0.3,5,N,,0
LD11748,LinkedIn,Python for Data Analysis,Ahmedabad,15k-30k,76,2025-11-17,24.1,1,N,,0
LD11749,LinkedIn,Python for Data Analysis,Mumbai,15k-30k,53,2025-12-07,40.7,7,N,,0
LD11750,Referral,Business Analytics,Delhi NCR,<15k,70,2025-12-26,20.2,3,N,,0
LD11751,Organic Search,Python for Data Analysis,Hyderabad,30k-50k,19,2026-01-27,60.6,3,N,,0
LD11752,Organic Search,Data Science Bootcamp,Kolkata,50k+,64,2026-04-29,63.6,3,N,,0
LD11753,Google Ads,Digital Marketing,Mumbai,30k-50k,13,2026-03-23,10.7,1,Y,2026-03-26,38229
LD11754,Google Ads,Digital Marketing,Bengaluru,30k-50k,60,2026-01-24,2.5,5,N,,0
LD11755,Google Ads,Digital Marketing,Chennai,15k-30k,31,2025-12-17,21.8,3,N,,0
LD11756,Instagram Ads,Power BI & Tableau,Pune,50k+,41,2026-07-07,15.6,6,N,,0
LD11757,Organic Search,Python for Data Analysis,Mumbai,<15k,34,2026-02-01,3.9,6,N,,0
LD11758,Organic Search,Business Analytics,Pune,30k-50k,59,2026-02-04,0.8,2,N,,0
LD11759,Instagram Ads,Full Stack Development,Hyderabad,<15k,58,2026-05-29,9.7,4,Y,2026-06-10,11280
LD11760,Referral,Full Stack Development,Mumbai,<15k,64,2026-05-15,11.3,3,N,,0
LD11761,Walk-in,Power BI & Tableau,Delhi NCR,15k-30k,56,2026-04-24,20.8,1,N,,0
LD11762,Instagram Ads,Data Science Bootcamp,Hyderabad,30k-50k,39,2026-05-08,9.9,1,Y,2026-05-10,41723
LD11763,LinkedIn,Digital Marketing,Ahmedabad,50k+,52,2026-04-15,10.8,1,N,,0
LD11764,Organic Search,Data Science Bootcamp,Mumbai,30k-50k,51,2025-12-22,16.7,1,N,,0
LD11765,Google Ads,Full Stack Development,Mumbai,15k-30k,53,2026-01-06,24.0,6,N,,0
LD11766,Google Ads,Power BI & Tableau,Ahmedabad,30k-50k,69,2026-04-01,2.4,3,N,,0
LD11767,Organic Search,Power BI & Tableau,Bengaluru,15k-30k,48,2025-12-31,32.9,3,N,,0
LD11768,Walk-in,Python for Data Analysis,Delhi NCR,<15k,38,2026-07-23,0.9,3,N,,0
LD11769,Organic Search,Business Analytics,Delhi NCR,<15k,63,2026-01-20,7.3,6,Y,2026-01-24,12662
LD11770,Google Ads,Business Analytics,Bengaluru,30k-50k,61,2026-01-17,7.3,4,Y,2026-01-18,40470
LD11771,Referral,Python for Data Analysis,Hyderabad,<15k,49,2025-12-26,4.1,3,N,,0
LD11772,Organic Search,Python for Data Analysis,Chennai,30k-50k,86,2026-05-11,19.8,4,N,,0
LD11773,Organic Search,Data Science Bootcamp,Delhi NCR,<15k,54,2026-01-25,3.5,1,N,,0
LD11774,Referral,Full Stack Development,Mumbai,50k+,21,2026-02-03,1.6,1,Y,2026-02-09,65051
LD11775,Instagram Ads,Python for Data Analysis,Chennai,<15k,36,2026-07-12,1.3,5,N,,0
LD11776,Instagram Ads,Python for Data Analysis,Pune,<15k,67,2026-06-05,32.1,2,N,,0
LD11777,Google Ads,Business Analytics,Bengaluru,50k+,58,2026-01-13,19.1,4,N,,0
LD11778,Google Ads,Data Science Bootcamp,Delhi NCR,15k-30k,69,2025-12-03,11.5,3,N,,0
LD11779,Referral,Digital Marketing,Kolkata,50k+,53,2026-05-03,22.7,2,N,,0
LD11780,Organic Search,Full Stack Development,Bengaluru,15k-30k,10,2026-02-11,1.6,3,N,,0
LD11781,Instagram Ads,Digital Marketing,Chennai,30k-50k,47,2026-07-25,10.4,0,N,,0
LD11782,Instagram Ads,Full Stack Development,Mumbai,30k-50k,50,2026-06-11,17.3,3,N,,0
LD11783,Instagram Ads,Power BI & Tableau,Bengaluru,30k-50k,43,2026-07-18,48.3,1,N,,0
LD11784,Organic Search,Full Stack Development,Kolkata,30k-50k,50,2026-06-07,11.4,1,N,,0
LD11785,Instagram Ads,Data Science Bootcamp,Mumbai,30k-50k,67,2026-01-18,29.7,2,N,,0
LD11786,Google Ads,Business Analytics,Kolkata,30k-50k,30,2026-01-17,16.2,4,N,,0
LD11787,Instagram Ads,Full Stack Development,Hyderabad,15k-30k,89,2026-05-13,3.7,3,Y,2026-05-24,23074
LD11788,LinkedIn,Full Stack Development,Mumbai,50k+,21,2026-02-02,0.2,4,N,,0
LD11789,Referral,Python for Data Analysis,Pune,15k-30k,45,2026-02-28,0.7,3,N,,0
LD11790,Google Ads,Python for Data Analysis,Chennai,30k-50k,98,2026-01-09,5.6,2,N,,0
LD11791,Instagram Ads,Python for Data Analysis,Mumbai,15k-30k,88,2026-03-10,0.5,3,N,,0
LD11792,Organic Search,Full Stack Development,Mumbai,15k-30k,41,2025-12-25,25.8,5,N,,0
LD11793,Organic Search,Business Analytics,Pune,30k-50k,4,2026-03-27,5.1,3,N,,0
LD11794,Google Ads,Python for Data Analysis,Pune,15k-30k,84,2026-07-12,3.1,0,N,,0
LD11795,Referral,Digital Marketing,Hyderabad,<15k,38,2026-05-09,27.8,1,N,,0
LD11796,Organic Search,Business Analytics,Pune,30k-50k,76,2025-12-07,7.1,2,Y,2025-12-09,42197
LD11797,Referral,Full Stack Development,Chennai,<15k,62,2026-04-17,0.2,3,Y,2026-04-20,11383
LD11798,Instagram Ads,Python for Data Analysis,Delhi NCR,50k+,55,2026-04-09,8.6,5,N,,0
LD11799,Instagram Ads,Python for Data Analysis,Pune,30k-50k,77,2026-01-05,12.1,3,Y,2026-01-11,40315
LD11800,LinkedIn,Business Analytics,Pune,<15k,57,2026-05-01,1.8,6,Y,2026-05-03,11637
LD11801,LinkedIn,Business Analytics,Delhi NCR,<15k,52,2026-03-24,40.2,3,N,,0
LD11802,Referral,Power BI & Tableau,Mumbai,15k-30k,36,2026-04-23,10.4,0,N,,0
LD11803,Referral,Business Analytics,Chennai,<15k,42,2025-11-14,11.6,2,N,,0
LD11804,Instagram Ads,Data Science Bootcamp,Pune,50k+,70,2026-02-20,0.6,3,N,,0
LD11805,Organic Search,Power BI & Tableau,Chennai,50k+,37,2026-05-14,3.6,6,N,,0
LD11806,Instagram Ads,Business Analytics,Ahmedabad,50k+,43,2025-11-27,1.5,0,N,,0
LD11807,Google Ads,Python for Data Analysis,Pune,15k-30k,61,2026-05-29,25.1,3,N,,0
LD11808,LinkedIn,Business Analytics,Bengaluru,15k-30k,52,2025-11-01,45.5,7,N,,0
LD11809,Organic Search,Python for Data Analysis,Delhi NCR,<15k,23,2026-03-30,21.2,4,N,,0
LD11810,Organic Search,Python for Data Analysis,Mumbai,15k-30k,52,2026-07-11,1.4,3,N,,0
LD11811,Organic Search,Business Analytics,Pune,<15k,61,2026-02-19,3.2,0,Y,2026-02-21,12617
LD11812,Referral,Python for Data Analysis,Chennai,50k+,48,2026-07-13,27.5,1,N,,0
LD11813,Instagram Ads,Python for Data Analysis,Kolkata,15k-30k,57,2026-06-27,14.5,4,N,,0
LD11814,Referral,Python for Data Analysis,Kolkata,<15k,68,2026-03-10,32.4,0,N,,0
LD11815,Google Ads,Full Stack Development,Kolkata,30k-50k,70,2025-12-24,1.4,3,N,,0
LD11816,Referral,Power BI & Tableau,Hyderabad,<15k,65,2026-07-21,4.7,1,N,,0
LD11817,Referral,Python for Data Analysis,Bengaluru,50k+,52,2026-01-26,45.1,5,Y,2026-01-30,60928
LD11818,Referral,Business Analytics,Bengaluru,50k+,77,2026-04-25,20.5,1,N,,0
LD11819,LinkedIn,Power BI & Tableau,Bengaluru,50k+,58,2026-07-05,22.9,3,N,,0
LD11820,Instagram Ads,Business Analytics,Ahmedabad,30k-50k,64,2025-11-24,11.3,3,N,,0
LD11821,Walk-in,Python for Data Analysis,Delhi NCR,30k-50k,47,2026-04-05,10.0,5,N,,0
LD11822,Instagram Ads,Python for Data Analysis,Kolkata,15k-30k,63,2026-03-26,23.8,2,N,,0
LD11823,Referral,Digital Marketing,Pune,<15k,46,2026-05-16,38.6,3,N,,0
LD11824,Google Ads,Python for Data Analysis,Hyderabad,50k+,5,2026-07-13,20.9,4,Y,2026-07-27,62210
LD11825,Referral,Full Stack Development,Pune,<15k,53,2026-07-07,69.6,3,N,,0
LD11826,Referral,Power BI & Tableau,Kolkata,15k-30k,56,2025-12-17,11.0,2,N,,0
LD11827,Google Ads,Python for Data Analysis,Ahmedabad,30k-50k,77,2026-06-28,15.0,3,Y,2026-07-06,40383
LD11828,Instagram Ads,Data Science Bootcamp,Ahmedabad,15k-30k,53,2025-12-17,30.6,5,N,,0
LD11829,LinkedIn,Power BI & Tableau,Ahmedabad,15k-30k,38,2026-07-09,1.0,2,N,,0
LD11830,Referral,Data Science Bootcamp,Chennai,30k-50k,55,2026-07-30,55.3,2,N,,0
LD11831,Organic Search,Full Stack Development,Hyderabad,15k-30k,54,2026-02-16,23.1,3,N,,0
LD11832,Referral,Data Science Bootcamp,Ahmedabad,<15k,94,2026-03-15,9.4,3,Y,2026-03-29,13105
LD11833,Organic Search,Full Stack Development,Hyderabad,30k-50k,74,2026-07-13,8.2,6,N,,0
LD11834,Organic Search,Power BI & Tableau,Pune,50k+,40,2026-07-20,11.3,1,N,,0
LD11835,Google Ads,Python for Data Analysis,Bengaluru,50k+,57,2026-07-10,16.9,0,N,,0
LD11836,Organic Search,Business Analytics,Pune,30k-50k,78,2026-06-27,22.3,2,N,,0
LD11837,LinkedIn,Business Analytics,Pune,15k-30k,100,2025-11-02,1.8,3,N,,0
LD11838,Google Ads,Full Stack Development,Kolkata,<15k,72,2026-04-04,0.9,5,N,,0
LD11839,Google Ads,Digital Marketing,Ahmedabad,30k-50k,77,2025-11-29,6.6,1,N,,0
LD11840,LinkedIn,Digital Marketing,Hyderabad,15k-30k,43,2026-07-26,45.5,4,N,,0
LD11841,Instagram Ads,Business Analytics,Bengaluru,15k-30k,76,2026-01-16,13.0,1,N,,0
LD11842,LinkedIn,Power BI & Tableau,Bengaluru,30k-50k,52,2026-07-28,3.9,2,N,,0
LD11843,Organic Search,Python for Data Analysis,Ahmedabad,50k+,48,2026-03-28,25.0,3,N,,0
LD11844,Google Ads,Power BI & Tableau,Ahmedabad,<15k,42,2026-03-14,2.1,0,N,,0
LD11845,Referral,Business Analytics,Ahmedabad,15k-30k,39,2026-07-14,22.2,2,N,,0
LD11846,Walk-in,Python for Data Analysis,Ahmedabad,50k+,67,2026-06-20,16.2,2,N,,0
LD11847,Organic Search,Data Science Bootcamp,Mumbai,<15k,47,2026-03-07,20.6,4,N,,0
LD11848,Organic Search,Power BI & Tableau,Mumbai,30k-50k,70,2025-12-22,168.0,5,N,,0
LD11849,Referral,Data Science Bootcamp,Pune,15k-30k,63,2025-11-30,37.6,2,N,,0
LD11850,Google Ads,Data Science Bootcamp,Bengaluru,30k-50k,54,2025-12-14,0.5,2,N,,0
LD11851,Google Ads,Business Analytics,Delhi NCR,<15k,45,2026-03-05,10.1,4,N,,0
LD11852,Instagram Ads,Digital Marketing,Bengaluru,<15k,65,2026-01-09,4.9,3,N,,0
LD11853,Walk-in,Data Science Bootcamp,Pune,50k+,7,2025-12-20,5.1,2,N,,0
LD11854,LinkedIn,Business Analytics,Pune,30k-50k,51,2026-05-20,14.1,0,N,,0
LD11855,Instagram Ads,Python for Data Analysis,Bengaluru,30k-50k,70,2026-06-03,17.2,5,N,,0
LD11856,LinkedIn,Data Science Bootcamp,Chennai,30k-50k,58,2026-04-04,0.2,0,N,,0
LD11857,Organic Search,Digital Marketing,Hyderabad,50k+,61,2026-05-25,28.0,2,Y,2026-05-28,65264
LD11858,LinkedIn,Python for Data Analysis,Delhi NCR,<15k,94,2025-12-17,22.1,3,N,,0
LD11859,Instagram Ads,Python for Data Analysis,Hyderabad,15k-30k,79,2026-06-21,4.3,2,Y,2026-07-12,20237
LD11860,LinkedIn,Full Stack Development,Chennai,30k-50k,99,2026-07-02,0.0,1,N,,0
LD11861,Google Ads,Power BI & Tableau,Mumbai,50k+,90,2026-06-13,24.1,1,N,,0
LD11862,Instagram Ads,Full Stack Development,Bengaluru,15k-30k,51,2026-03-20,25.6,5,N,,0
LD11863,Google Ads,Data Science Bootcamp,Ahmedabad,<15k,53,2025-11-23,10.1,6,N,,0
LD11864,Google Ads,Full Stack Development,Kolkata,30k-50k,44,2026-05-01,8.7,4,Y,2026-05-02,38340
LD11865,Referral,Power BI & Tableau,Delhi NCR,30k-50k,81,2025-12-20,1.2,1,N,,0
LD11866,Instagram Ads,Power BI & Tableau,Pune,30k-50k,85,2025-12-08,8.3,1,N,,0
LD11867,Walk-in,Power BI & Tableau,Ahmedabad,50k+,32,2026-01-27,18.8,2,N,,0
LD11868,Referral,Python for Data Analysis,Mumbai,15k-30k,71,2026-01-06,10.3,2,N,,0
LD11869,Organic Search,Full Stack Development,Mumbai,30k-50k,43,2026-01-10,11.0,2,N,,0
LD11870,Instagram Ads,Data Science Bootcamp,Bengaluru,<15k,30,2026-01-03,2.3,3,N,,0
LD11871,Instagram Ads,Python for Data Analysis,Mumbai,<15k,57,2026-05-24,2.7,3,N,,0
LD11872,Google Ads,Power BI & Tableau,Kolkata,50k+,43,2026-07-18,20.5,2,N,,0
LD11873,Instagram Ads,Data Science Bootcamp,Chennai,30k-50k,36,2026-01-21,36.4,2,N,,0
LD11874,Instagram Ads,Power BI & Tableau,Bengaluru,15k-30k,33,2026-05-16,1.4,3,N,,0
LD11875,Referral,Full Stack Development,Delhi NCR,15k-30k,57,2025-11-03,41.7,6,N,,0
LD11876,Organic Search,Digital Marketing,Delhi NCR,<15k,44,2026-04-27,2.9,3,N,,0
LD11877,Instagram Ads,Digital Marketing,Bengaluru,30k-50k,37,2026-05-08,6.2,2,N,,0
LD11878,Referral,Data Science Bootcamp,Chennai,30k-50k,54,2025-11-16,5.3,1,N,,0
LD11879,Walk-in,Python for Data Analysis,Pune,<15k,64,2025-12-02,37.4,2,N,,0
LD11880,LinkedIn,Business Analytics,Chennai,30k-50k,97,2026-01-22,3.3,0,Y,2026-01-24,36266
LD11881,Referral,Full Stack Development,Ahmedabad,50k+,33,2026-02-18,6.8,2,N,,0
LD11882,Walk-in,Data Science Bootcamp,Ahmedabad,15k-30k,81,2026-03-17,0.7,4,N,,0
LD11883,LinkedIn,Business Analytics,Chennai,50k+,39,2026-07-02,0.8,1,N,,0
LD11884,Instagram Ads,Python for Data Analysis,Bengaluru,50k+,37,2026-05-11,2.5,2,N,,0
LD11885,Walk-in,Power BI & Tableau,Chennai,30k-50k,65,2026-01-23,25.4,3,N,,0
LD11886,Organic Search,Power BI & Tableau,Mumbai,<15k,23,2025-12-02,39.7,3,N,,0
